City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Iquique,CL,69.8,Clear,-20.2208,-70.1431,Backpacker`s Hostel Iquique
579,Katsuura,JP,53.01,Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
580,Ambulu,ID,74.79,Clouds,-8.345,113.6058,Hotel Ambulu Jember
583,Camabatela,AO,65.41,Rain,-8.1881,15.375,Pensão E Restaurantes
584,Newport,GB,53.6,Clouds,51.5877,-2.9984,ibis budget Newport
586,Jumla,NP,44.82,Clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
587,Asfi,MA,66.72,Clouds,32.2994,-9.2372,Hôtel Abda
588,Sheridan,US,61.0,Clouds,44.8333,-106.9173,Comfort Inn & Suites
590,Senanga,ZM,68.65,Clear,-16.1167,23.2667,Christopher Nasilele House
591,Visby,SE,50.0,Clear,57.6409,18.296,Best Western Solhem Hotel Visby
592,Zhuhai,CN,73.4,Clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
595,Blantyre,MW,59.05,Clouds,-15.785,35.0085,Home Up Guest House
597,Diveyevo,RU,45.36,Clouds,55.0433,43.2418,Diveyevskaya Sloboda
598,Moose Factory,CA,42.8,Clear,51.2585,-80.6094,Moosonee Lilypad
599,Hovd,MN,43.74,Clear,48.0056,91.6419,Hotel Khovd
602,Batemans Bay,AU,53.01,Clouds,-35.7167,150.1833,Batemans Bay Marina Resort
603,Huambo,AO,67.28,Clouds,-12.7761,15.7392,SiSHotel
604,Deniliquin,AU,46.0,Clouds,-35.5333,144.9667,Riviana Motel
605,Owensboro,US,64.4,Clear,37.7742,-87.1133,Courtyard by Marriott Owensboro
606,Linda,US,75.0,Clear,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
607,Bunda,TZ,73.4,Clouds,-2.05,33.8667,Tembea Mara at Balili Village
608,Grandview,US,57.99,Clouds,38.8858,-94.53299999999999,Holiday Inn Express & Suites Kansas City-Grandview
614,Sierra Vista,US,63.0,Clear,31.5545,-110.3037,Gateway Studio Suites
615,Raudeberg,NO,53.6,Clear,61.9875,5.1352,Nordre Silda.
617,Maarianhamina,AX,51.8,Clear,60.0973,19.9348,Park Alandia Hotel
618,Garden City,US,60.01,Clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
619,Necochea,AR,73.0,Rain,-38.5473,-58.7368,dyd -mar Hotel
622,Gisborne,NZ,46.0,Clear,-38.6533,178.0042,ASURE Alfresco Motor Lodge
624,Bozeman,US,59.0,Clear,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
627,Kolyubakino,RU,46.99,Rain,55.668,36.5323,Monotel
629,Mudu,CN,50.13,Clouds,31.252,120.5118,Jinjiang Inn
630,Requena,ES,62.01,Clouds,39.4883,-1.1004,Hotel Avenida
632,Ouegoa,NC,74.95,Clouds,-20.35,164.4333,
633,Waipawa,NZ,59.0,Clear,-41.4122,175.5153,Tora Coastal Walk
634,Svetlyy,RU,51.8,Clear,54.675,20.1347,"Gostinitsa-Kafe, Alena"
635,Perehonivka,UA,51.84,Clouds,48.5355,30.5192,
636,Langenzenn,DE,50.0,Clouds,49.5,10.8,Designhotel Rangau
643,Corinto,GR,63.0,Clouds,37.9407,22.9573,Ephira Hotel
644,Herat,AF,66.2,Clear,34.5,62.0,
645,Camargo,MX,69.15,Clear,27.6667,-105.1667,Hotel Santa Fe
