City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Goba,ET,2021-04-17 20:53:43,7.0167,39.9833,53.51,79,100,1.45
280,Puri,IN,2021-04-17 20:53:44,19.8,85.85,80.6,89,20,5.75
281,Ukiah,US,2021-04-17 20:52:40,39.1502,-123.2078,82.4,14,1,4.61
282,Vilhena,BR,2021-04-17 20:51:18,-12.7406,-60.1458,73.4,94,0,3.44
283,Veinticinco De Mayo,AR,2021-04-17 20:53:46,-35.4323,-60.1727,77.0,64,92,1.99
284,Khandbari,NP,2021-04-17 20:53:46,27.3747,87.2039,63.54,66,36,4.14
285,Kysyl-Syr,RU,2021-04-17 20:53:47,63.8986,122.7617,11.82,92,100,12.28
286,Udachnyy,RU,2021-04-17 20:53:47,66.4167,112.4,0.32,90,100,11.65
287,Christchurch,NZ,2021-04-17 20:53:44,-43.5333,172.6333,54.0,100,8,1.14
288,Corning,US,2021-04-17 20:53:48,42.1428,-77.0547,48.2,81,90,5.75
289,Flinders,AU,2021-04-17 20:53:48,-34.5833,150.8552,55.0,86,9,1.01
290,Weirton,US,2021-04-17 20:48:55,40.419,-80.5895,54.0,62,90,5.75
291,Smithers,CA,2021-04-17 20:53:49,54.7804,-127.1743,62.6,36,20,8.05
292,Katangli,RU,2021-04-17 20:49:36,51.7102,143.2326,33.12,99,98,3.67
